Role,Domain,Aliases,Description,Skills,Education,Experience_Min,Experience_Max,Keywords
Systems Administrator,Cloud & Infrastructure,IT Administrator,"Administer enterprise systems, user access, infrastructure health, and operational support.","linux, aws, azure, docker, kubernetes, terraform, networking, monitoring, windows server, troubleshooting, active directory, backup",btech computer science|be information technology|bca|mca,1,12,"cloud operations, infrastructure, devops, ci cd, site reliability, system administration, infrastructure support, server management"
Network Engineer,Cloud & Infrastructure,Infrastructure Network Engineer,"Design and support network infrastructure, connectivity, and network security controls.","linux, aws, azure, docker, kubernetes, terraform, networking, monitoring, routing, switching, firewalls, tcp ip, network monitoring",btech computer science|be information technology|bca|mca,1,12,"cloud operations, infrastructure, devops, ci cd, site reliability, network operations, routing switching, connectivity"
Cybersecurity Analyst,Cybersecurity,Security Analyst,"Monitor systems, investigate threats, and implement controls to reduce security risk.","network security, siem, incident response, vulnerability assessment, splunk, python, risk assessment, threat analysis, soc monitoring, penetration testing, security monitoring, ethical hacking",btech computer science|cybersecurity|information security|mca|bca,1,10,"threat detection, soc, security operations, penetration testing, compliance, security monitoring, incident triage, cyber security, ethical hacking, network security"
SOC Analyst,Cybersecurity,Security Operations Center Analyst,Analyze alerts and security events in a SOC environment to detect and escalate incidents.,"network security, siem, incident response, vulnerability assessment, splunk, python, risk assessment, log analysis, threat intelligence",btech computer science|cybersecurity|information security|mca,0,8,"threat detection, soc, security operations, penetration testing, compliance, soc operations, alert triage, security events"
Penetration Tester,Cybersecurity,Ethical Hacker,"Simulate attacks to identify security weaknesses across applications, networks, and systems.","network security, siem, incident response, vulnerability assessment, splunk, python, risk assessment, penetration testing, web security, burp suite, owasp",btech computer science|cybersecurity|information security|mca,1,10,"threat detection, soc, security operations, penetration testing, compliance, security testing, vulnerability exploitation, red team"
IAM Engineer,Cybersecurity,Identity Engineer,"Implement identity, authentication, authorization, and privileged access controls.","network security, siem, incident response, vulnerability assessment, splunk, python, risk assessment, identity access management, active directory, okta, sso, mfa, access governance",btech computer science|cybersecurity|information security|mca,2,12,"threat detection, soc, security operations, penetration testing, compliance, identity governance, access control, authentication"
GRC Analyst,Cybersecurity,Risk and Compliance Analyst,"Support governance, risk, and compliance programs with security frameworks and control assessments.","network security, siem, incident response, vulnerability assessment, splunk, python, risk assessment, iso 27001, security compliance, audit, policy management",btech computer science|cybersecurity|information security|mca,1,10,"threat detection, soc, security operations, penetration testing, compliance, grc, security audits, policy compliance"
Product Manager,Product & Project Management,Associate Product Manager,"Own product direction, prioritize features, and align teams around user and business outcomes.","stakeholder management, roadmapping, jira, agile, scrum, requirements gathering, communication, market research, product strategy",mba|btech|bba|business administration,1,12,"delivery, planning, project lifecycle, product strategy, cross functional, product roadmap, feature prioritization, user needs"
Project Manager,Product & Project Management,Program Coordinator,"Plan and deliver projects across teams, timelines, budgets, and risks.","stakeholder management, roadmapping, jira, agile, scrum, requirements gathering, communication, project planning, risk management",mba|btech|bba|business administration,1,12,"delivery, planning, project lifecycle, product strategy, cross functional, project delivery, execution"
Program Manager,Product & Project Management,Delivery Manager,"Coordinate multi-project initiatives, governance structures, and strategic delivery outcomes.","stakeholder management, roadmapping, jira, agile, scrum, requirements gathering, communication, program management, governance, risk management",mba|btech|bba|business administration,3,15,"delivery, planning, project lifecycle, product strategy, cross functional, program governance, cross functional delivery, portfolio execution"
Scrum Master,Product & Project Management,Agile Coach,"Guide agile ceremonies, remove blockers, and improve team delivery practices.","stakeholder management, roadmapping, jira, agile, scrum, requirements gathering, communication, facilitation, retrospectives, team coaching",mba|btech|bba|business administration,1,10,"delivery, planning, project lifecycle, product strategy, cross functional, agile delivery, iteration planning, team facilitation"
Business Program Analyst,Product & Project Management,PMO Analyst,"Support PMO or program teams with reporting, tracking, planning, and governance artifacts.","stakeholder management, roadmapping, jira, agile, scrum, requirements gathering, communication, excel, reporting, governance, project tracking, stakeholder coordination",mba|btech|bba|business administration,0,8,"delivery, planning, project lifecycle, product strategy, cross functional, pmo, status reporting, program tracking"
UI UX Designer,Design & UX,UX Designer|Product Designer,"Design usable digital experiences from discovery through interaction flows, wireframes, and prototypes.","figma, wireframing, prototyping, user research, visual design, usability testing, design systems",bdes|bachelor design|mass communication|graphic design,0,10,"user experience, interaction design, interface design, journey mapping, design thinking"
Graphic Designer,Design & UX,Visual Designer,"Create visual assets for digital and print communication, branding, and campaigns.","figma, wireframing, prototyping, user research, visual design, usability testing, design systems, adobe photoshop, illustrator, branding, layout design, typography, creative suite",bdes|bachelor design|mass communication|graphic design,0,10,"user experience, interaction design, interface design, journey mapping, visual communication, brand design, creative assets"
Interaction Designer,Design & UX,UX Interaction Designer,"Design interactive behaviors, flows, and patterns that improve usability and product engagement.","figma, wireframing, prototyping, user research, visual design, usability testing, design systems, interaction design, journey mapping",bdes|bachelor design|mass communication|graphic design,1,10,"user experience, interaction design, interface design, journey mapping, interaction patterns, product flows, user interactions"
UX Researcher,Design & UX,Design Researcher,"Plan and synthesize user studies to inform product, service, and design decisions.","figma, wireframing, prototyping, user research, visual design, usability testing, design systems, interviews, surveys, analysis",bdes|bachelor design|mass communication|graphic design,1,10,"user experience, interaction design, interface design, journey mapping, research synthesis, user insights, testing"
Motion Designer,Design & UX,Animation Designer,"Produce motion graphics and animation assets for product, marketing, and media storytelling.","figma, wireframing, prototyping, user research, visual design, usability testing, design systems, after effects, animation, storyboarding, video editing",bdes|bachelor design|mass communication|graphic design,0,10,"user experience, interaction design, interface design, journey mapping, motion graphics, animation design, video assets"
Sales Executive,Sales,Business Development Executive,"Generate leads, manage prospects, and close business opportunities for revenue growth.","crm, lead generation, negotiation, client management, sales strategy, pipeline management, presentation, communication, customer relationship management",bba|mba marketing|commerce|business administration,0,8,"revenue growth, sales targets, client acquisition, account growth, sales pipeline, prospecting"
Account Manager,Sales,Client Success Manager,"Grow existing accounts through relationship management, renewals, and expansion opportunities.","crm, lead generation, negotiation, client management, sales strategy, pipeline management, presentation, upselling, relationship management",bba|mba marketing|commerce|business administration,1,12,"revenue growth, sales targets, client acquisition, account growth, client retention, renewals"
Business Development Manager,Sales,BD Manager,"Drive new business through market mapping, outreach, proposals, and pipeline development.","crm, lead generation, negotiation, client management, sales strategy, pipeline management, presentation, market research, client meetings",bba|mba marketing|commerce|business administration,2,12,"revenue growth, sales targets, client acquisition, account growth, new business, partnerships, pipeline expansion"
Inside Sales Specialist,Sales,Sales Development Representative,Qualify prospects and generate meetings for account executives or field sales teams.,"crm, lead generation, negotiation, client management, sales strategy, pipeline management, presentation, cold calling, email outreach, lead qualification, communication",bba|mba marketing|commerce|business administration,0,8,"revenue growth, sales targets, client acquisition, account growth, inside sales, lead qualification, outbound sales"
Pre Sales Consultant,Sales,Solutions Consultant,Support the sales cycle by translating customer needs into solution narratives and demonstrations.,"crm, lead generation, negotiation, client management, sales strategy, pipeline management, presentation, product demos, requirements analysis, solution design, proposal writing",bba|mba marketing|commerce|business administration,1,12,"revenue growth, sales targets, client acquisition, account growth, presales, solution consulting, demo support"
Digital Marketing Specialist,Marketing,Digital Marketer,"Execute digital marketing campaigns across search, social, content, and performance channels.","seo, sem, google analytics, content strategy, social media marketing, campaign management, copywriting, content marketing",mba marketing|bba|mass communication|marketing,0,10,"brand campaigns, performance marketing, lead generation, digital channels, digital campaigns, paid media, traffic growth"
SEO Specialist,Marketing,Search Optimization Specialist,"Improve organic search visibility through technical SEO, on-page optimization, and content strategy.","seo, sem, google analytics, content strategy, social media marketing, campaign management, copywriting, keyword research, google search console, content optimization, analytics",mba marketing|bba|mass communication|marketing,0,10,"brand campaigns, performance marketing, lead generation, digital channels, organic search, keyword strategy, search rankings"
Performance Marketing Manager,Marketing,Paid Media Manager,"Manage paid acquisition campaigns with performance tracking, optimization, and ROI analysis.","seo, sem, google analytics, content strategy, social media marketing, campaign management, copywriting, google ads, meta ads, campaign optimization, analytics, budget management",mba marketing|bba|mass communication|marketing,1,12,"brand campaigns, performance marketing, lead generation, digital channels, paid campaigns, cac, roas"
Content Strategist,Marketing,Content Marketing Manager,"Plan and govern content programs aligned with brand, acquisition, and engagement objectives.","seo, sem, google analytics, content strategy, social media marketing, campaign management, copywriting, editorial planning, research",mba marketing|bba|mass communication|marketing,1,12,"brand campaigns, performance marketing, lead generation, digital channels, content calendar, editorial strategy, brand voice"
Brand Manager,Marketing,Marketing Brand Manager,"Shape brand positioning, messaging, campaigns, and go-to-market consistency.","seo, sem, google analytics, content strategy, social media marketing, campaign management, copywriting, brand strategy, campaign planning, consumer insights, communication, creative coordination",mba marketing|bba|mass communication|marketing,2,12,"brand campaigns, performance marketing, lead generation, digital channels, brand positioning, campaign leadership, market communication"
Financial Analyst,Finance & Accounting,Finance Analyst,"Support planning and decision-making through financial analysis, forecasting, and performance reporting.","accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, financial modeling, variance analysis",bcom|mcom|mba finance|ca|cma,0,10,"financial planning, audit, compliance, accounts, valuation, fpna, budgeting, financial reporting"
Accountant,Finance & Accounting,Junior Accountant,"Maintain books, reconciliations, tax records, and financial statements.","accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, tally, gst, accounts payable, accounts receivable, reconciliation",bcom|mcom|mba finance|ca|cma,0,10,"financial planning, audit, compliance, accounts, valuation, bookkeeping, financial statements, ledger management"
Investment Analyst,Finance & Accounting,Equity Analyst,"Evaluate investment opportunities, company performance, and valuation scenarios.","accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, financial modeling, valuation, research, capital markets",bcom|mcom|mba finance|ca|cma,1,12,"financial planning, audit, compliance, accounts, valuation, investment research, portfolio analysis"
Internal Auditor,Finance & Accounting,Audit Analyst,"Assess controls, processes, and risks to strengthen governance and compliance.","accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, auditing, risk assessment, internal controls, documentation, compliance",bcom|mcom|mba finance|ca|cma,1,12,"financial planning, audit, compliance, accounts, valuation, internal audit, control testing, risk review"
Tax Consultant,Finance & Accounting,Tax Analyst,"Prepare and review tax filings, computations, and advisory support for direct and indirect taxes.","accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, gst, income tax, compliance",bcom|mcom|mba finance|ca|cma,1,12,"financial planning, audit, compliance, accounts, valuation, tax compliance, gst filings, tax advisory"
Risk Analyst,Finance & Accounting,Credit Risk Analyst,Analyze financial and operational risk indicators to support control and decision frameworks.,"accounting, financial analysis, excel, budgeting, forecasting, taxation, reporting, risk analysis, sql",bcom|mcom|mba finance|ca|cma,1,12,"financial planning, audit, compliance, accounts, valuation, risk monitoring, financial risk, controls"
Talent Acquisition Specialist,Human Resources,Recruiter,Manage the hiring funnel from sourcing and screening through offer coordination.,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, sourcing, screening, interview coordination",mba hr|bba|psychology|human resources,0,10,"talent acquisition, people operations, employee lifecycle, policy, hiring, candidate pipeline"
HR Generalist,Human Resources,People Operations Generalist,"Support core HR processes, employee lifecycle activities, and people operations.","recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, policy administration",mba hr|bba|psychology|human resources,1,10,"talent acquisition, people operations, employee lifecycle, policy, hr operations, employee support, policy execution"
HRBP,Human Resources,Human Resources Business Partner,"Partner with business leaders on workforce planning, performance, and employee relations.","recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, stakeholder management, employee relations, organizational development",mba hr|bba|psychology|human resources,3,15,"talent acquisition, people operations, employee lifecycle, policy, business partnering, people strategy, employee relations"
Learning and Development Specialist,Human Resources,L&D Specialist,Design and deliver training programs to build organizational capabilities.,"recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, training needs analysis, facilitation, instructional design, learning management systems",mba hr|bba|psychology|human resources,1,12,"talent acquisition, people operations, employee lifecycle, policy, training programs, learning design, capability building"
Compensation and Benefits Analyst,Human Resources,C&B Analyst,"Support salary structures, rewards programs, and benefits analytics.","recruitment, onboarding, employee engagement, hr operations, performance management, communication, ats, compensation analysis, benefits administration, excel, benchmarking, reporting",mba hr|bba|psychology|human resources,1,12,"talent acquisition, people operations, employee lifecycle, policy, rewards, compensation benchmarking, benefits"
Supply Chain Analyst,Operations & Supply Chain,Supply Planning Analyst,"Analyze demand, supply, inventory, and logistics data to improve operational planning.","supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, erp",mba operations|bcom|mechanical engineering|industrial engineering,0,10,"operations planning, procurement, warehouse, demand planning, supply analysis, inventory insights"
Procurement Specialist,Operations & Supply Chain,Sourcing Specialist,"Manage sourcing, purchasing, vendor coordination, and procurement documentation.","supply chain management, inventory management, vendor management, excel, process improvement, logistics, procurement, negotiation, purchase orders",mba operations|bcom|mechanical engineering|industrial engineering,1,10,"operations planning, procurement, warehouse, demand planning, vendor sourcing, purchase management, procurement operations"
Logistics Coordinator,Operations & Supply Chain,Logistics Executive,"Coordinate transportation, shipping, delivery schedules, and logistics communication.","supply chain management, inventory management, vendor management, excel, process improvement, logistics, shipment tracking, documentation, vendor coordination, communication",mba operations|bcom|mechanical engineering|industrial engineering,0,10,"operations planning, procurement, warehouse, demand planning, shipment planning, dispatch, transport coordination"
Operations Analyst,Operations & Supply Chain,Business Operations Analyst,Evaluate operational performance and identify process improvement opportunities.,"supply chain management, inventory management, vendor management, excel, process improvement, logistics, reporting, data analysis, coordination",mba operations|bcom|mechanical engineering|industrial engineering,0,10,"operations planning, procurement, warehouse, demand planning, operations reporting, process analysis, business operations"
Inventory Planner,Operations & Supply Chain,Inventory Analyst,"Optimize stock levels, replenishment, and inventory performance metrics.","supply chain management, inventory management, vendor management, excel, process improvement, logistics, forecasting, sap, supply planning",mba operations|bcom|mechanical engineering|industrial engineering,1,12,"operations planning, procurement, warehouse, demand planning, stock optimization, inventory planning, replenishment"
Management Consultant,Consulting,Business Consultant,"Advise clients on strategy, transformation, and performance improvement initiatives.","problem solving, powerpoint, excel, stakeholder management, business analysis, communication",mba|economics|engineering|business administration,1,12,"strategy consulting, client advisory, process transformation, market analysis, business transformation, strategic recommendations"
Strategy Analyst,Consulting,Corporate Strategy Analyst,"Support strategic planning through research, analysis, and executive-ready recommendations.","problem solving, powerpoint, excel, stakeholder management, business analysis, communication, market analysis, research, financial analysis",mba|economics|engineering|business administration,0,10,"strategy consulting, client advisory, process transformation, market analysis, strategy projects, market studies, business cases"
Operations Consultant,Consulting,Process Consultant,Improve operational efficiency through process redesign and implementation support.,"problem solving, powerpoint, excel, stakeholder management, business analysis, communication, process mapping, lean",mba|economics|engineering|business administration,1,12,"strategy consulting, client advisory, process transformation, market analysis, process improvement, operating model, transformation"
Business Transformation Analyst,Consulting,Transformation Analyst,"Support transformation programs with workstream tracking, analysis, and change coordination.","problem solving, powerpoint, excel, stakeholder management, business analysis, communication, project tracking, analysis, process improvement",mba|economics|engineering|business administration,0,10,"strategy consulting, client advisory, process transformation, market analysis, transformation office, change delivery, workstream support"
Legal Associate,Legal,Junior Legal Associate,"Prepare legal drafts, research statutes, and support legal case or contract workflows.","legal research, drafting, contract review, compliance, litigation support, documentation",llb|llm|law,0,10,"contracts, regulatory, case law, legal documentation, legal drafting, case research, documentation"
Corporate Lawyer,Legal,Commercial Lawyer,"Advise on corporate transactions, contracts, and regulatory requirements.","legal research, drafting, contract review, compliance, litigation support, documentation, contracts, corporate law, negotiation, legal drafting",llb|llm|law,2,15,"contracts, regulatory, case law, legal documentation, corporate transactions, contract negotiation, regulatory support"
Compliance Officer,Legal,Legal Compliance Officer,"Implement and monitor compliance controls, policies, and reporting requirements.","legal research, drafting, contract review, compliance, litigation support, documentation, policy review, regulatory analysis, audit support",llb|llm|law,1,12,"contracts, regulatory, case law, legal documentation, compliance programs, policy governance, regulatory adherence"
Contract Manager,Legal,Contract Specialist,Manage contract lifecycle activities from drafting and review to negotiation and compliance.,"legal research, drafting, contract review, compliance, litigation support, documentation, negotiation, vendor contracts, risk assessment",llb|llm|law,1,12,"contracts, regulatory, case law, legal documentation, contract lifecycle, commercial agreements, risk clauses"
Healthcare Administrator,Healthcare,Hospital Administrator,"Support hospital or healthcare facility operations, administration, and service coordination.","patient care, clinical documentation, medical terminology, care coordination, compliance, hospital operations, documentation, reporting",mbbs|bsc nursing|bpharm|healthcare administration,1,12,"clinical operations, hospital workflow, patient safety, healthcare operations, patient services, hospital administration"
Nurse,Healthcare,Registered Nurse,"Deliver direct patient care, monitor health status, and maintain clinical records.","patient care, clinical documentation, medical terminology, care coordination, compliance, patient safety",mbbs|bsc nursing|bpharm|healthcare administration,0,12,"clinical operations, hospital workflow, patient safety, clinical care, nursing practice, patient monitoring"
Medical Coder,Healthcare,Medical Coding Specialist,Translate clinical documentation into standardized billing and coding classifications.,"patient care, clinical documentation, medical terminology, care coordination, compliance, icd coding, documentation, billing, claims",mbbs|bsc nursing|bpharm|healthcare administration,0,10,"clinical operations, hospital workflow, patient safety, medical coding, claims processing, health records"
Clinical Data Coordinator,Healthcare,Clinical Coordinator,"Maintain clinical records, study data, and documentation quality in care or research settings.","patient care, clinical documentation, medical terminology, care coordination, compliance, data entry, regulatory compliance, patient records",mbbs|bsc nursing|bpharm|healthcare administration,0,10,"clinical operations, hospital workflow, patient safety, clinical records, data quality, coordination"
Clinical Research Associate,Pharma & Biotech,CRA,"Monitor clinical trial sites, ensure protocol compliance, and maintain study quality.","clinical research, gcp, laboratory techniques, documentation, data analysis, regulatory compliance, clinical trials, monitoring",bpharm|mpharm|biotechnology|life sciences,1,12,"clinical trials, drug safety, quality systems, research protocols, site monitoring, study compliance"
Regulatory Affairs Specialist,Pharma & Biotech,Regulatory Specialist,Prepare and manage regulatory submissions and compliance documentation.,"clinical research, gcp, laboratory techniques, documentation, data analysis, regulatory compliance, regulatory affairs, submission management, compliance, quality systems",bpharm|mpharm|biotechnology|life sciences,1,12,"clinical trials, drug safety, quality systems, research protocols, regulatory submissions, quality compliance, documentation"
Drug Safety Associate,Pharma & Biotech,Pharmacovigilance Associate,Process adverse event cases and support drug safety reporting workflows.,"clinical research, gcp, laboratory techniques, documentation, data analysis, regulatory compliance, pharmacovigilance, case processing, medical terminology, compliance",bpharm|mpharm|biotechnology|life sciences,0,10,"clinical trials, drug safety, quality systems, research protocols, case processing, safety reporting"
Biotech Research Associate,Pharma & Biotech,Life Science Research Associate,"Support laboratory, assay, and experimental workflows in biotech and life science research.","clinical research, gcp, laboratory techniques, documentation, data analysis, regulatory compliance, research, quality control",bpharm|mpharm|biotechnology|life sciences,0,10,"clinical trials, drug safety, quality systems, research protocols, lab research, experimental work, scientific documentation"
School Teacher,Education & Research,Subject Teacher,"Plan and deliver school-level classroom instruction, assess learners, manage classrooms, and support student development and parent communication.","teaching, lesson planning, curriculum development, assessment, classroom management, communication, student engagement, presentation",bed|med|ba|bsc|ma|msc,0,15,"school teaching, classroom teaching, lesson plans, student assessment, pedagogy, subject teacher, parent communication"
Assistant Professor,Education & Research,Lecturer,"Teach at higher education institutions, mentor students, develop curriculum, publish research, and contribute to academic committees and institutional development.","teaching, curriculum development, assessment, academic writing, research, presentation, student mentoring, subject expertise, faculty coordination, higher education pedagogy, publication writing, committee participation",phd|mphil|mtech|msc|mca|ma|med,2,20,"higher education, assistant professor, lecturer, faculty member, academic research, student mentoring, course delivery, college teaching, university teaching, department activities, naac, ugc, research publications, faculty development"
Research Assistant,Education & Research,Academic Research Assistant,"Support academic or institutional research projects through literature review, data collection, documentation, analysis, and report preparation under senior investigators.","literature review, data collection, data analysis, academic writing, research methodology, documentation, report writing, presentation",bachelors|bsc|ba|btech|msc|ma|mphil,0,5,"research support, literature review, project assistance, research data, survey support, documentation, assistant researcher"
Instructional Designer,Education & Research,Learning Experience Designer,"Design learning experiences, curriculum structures, and training content for education or enterprise learning.","teaching, curriculum development, assessment, academic writing, research, presentation, instructional design, e learning, learning management systems",bed|med|ma|msc|phd,1,12,"classroom instruction, pedagogy, higher education, learning outcomes, learning design, course development, training content"
Academic Counselor,Education & Research,Student Counselor,"Guide students on course selection, academic progression, career pathways, and institutional processes while maintaining records and student support documentation.","student counseling, communication, academic advising, documentation, career guidance, problem solving, relationship management",bed|med|ma|msc|psychology|counseling,0,12,"student support, academic advising, counseling, progression guidance, student records, higher education support"
Mechanical Design Engineer,Mechanical Engineering,Design Engineer Mechanical,"Design mechanical parts, assemblies, and production-ready engineering drawings.","autocad, solidworks, mechanical design, manufacturing, thermodynamics, quality control, gd&t, materials",btech mechanical engineering|be mechanical engineering|diploma mechanical,0,12,"production systems, mechanical components, maintenance, process engineering, mechanical design, cad modeling, product components"
